----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:04:22|  3   2  91   4   0|3058M 9566M 1403M 16.9G| 220   299 :   0  24.0 : 220   260 |  27M  192M:   0   292k:  27M  190M|44.8G  451G:31.6G  459G
24-02 14:04:23|  2   2  95   1   0|3061M 9564M 1403M 16.9G| 263   119 :   0     0 : 263   119 |  31M   80M:   0     0 :  31M   80M|44.8G  451G:31.6G  459G
24-02 14:04:24|  3   2  89   5   0|3056M 9567M 1403M 16.9G| 386   384 :   0  3.00 : 386   325 |  36M  195M:   0    20k:  36M  194M|44.8G  451G:31.7G  459G
24-02 14:04:25|  3   2  91   3   0|3041M 9582M 1403M 16.9G| 242   380 :   0  1.00 : 242   379 |  30M  130M:   0  4096B:  30M  130M|44.8G  451G:31.7G  459G
24-02 14:04:26|  4   2  93   1   0|3036M 9588M 1403M 16.9G| 259   225 :   0  7.00 : 259   212 |  32M   63M:   0    28k:  32M   63M|44.8G  451G:31.7G  459G
24-02 14:04:27|  3   2  91   4   0|3038M 9586M 1403M 16.9G| 219   361 :   0  13.0 : 219   344 |  27M  178M:   0   216k:  27M  177M|44.8G  451G:31.7G  459G
24-02 14:04:28|  3   2  92   3   0|3034M 9590M 1403M 16.9G| 240   296 :   0  28.0 : 240   213 |  29M  161M:   0   244k:  29M  158M|44.8G  451G:31.7G  459G
24-02 14:04:29|  2   2  94   1   0|3036M 9588M 1403M 16.9G| 243   159 :   0  1.00 : 243   158 |  30M  105M:   0  4096B:  30M  105M|44.8G  451G:31.8G  459G
24-02 14:04:30|  3   2  93   2   0|3036M 9588M 1403M 16.9G| 237   192 :   0  8.00 : 237   174 |  30M  119M:   0    48k:  30M  119M|44.8G  451G:31.8G  459G
24-02 14:04:31|  2   2  93   3   0|3035M 9589M 1403M 16.9G| 232   215 :   0  6.00 : 232   209 |  29M  145M:   0    36k:  29M  145M|44.8G  451G:31.8G  459G
24-02 14:04:32|  4   2  91   3   0|3038M 9586M 1403M 16.9G| 489   190 :   0  26.0 : 489   162 |  45M  122M:   0   284k:  45M  121M|44.8G  451G:31.8G  459G
24-02 14:04:33|  3   2  89   6   0|3035M 9588M 1403M 16.9G| 655   179 :   0  4.00 : 655   171 |  52M  109M:   0    16k:  52M  109M|44.8G  451G:31.8G  459G
24-02 14:04:34|  3   2  88   6   0|3045M 9577M 1403M 16.9G| 486   345 :   0  11.0 : 486   298 |  43M  178M:   0   100k:  43M  178M|44.8G  451G:31.9G  459G
24-02 14:04:35|  3   2  92   2   0|3049M 9574M 1404M 16.9G| 245   346 :   0  7.00 : 245   339 |  31M  107M:   0    32k:  31M  107M|44.8G  451G:31.9G  459G
24-02 14:04:36|  4   2  93   1   0|3057M 9564M 1404M 16.9G| 245   233 :   0  18.0 : 245   209 |  31M   64M:   0    84k:  31M   64M|44.8G  451G:31.9G  459G
24-02 14:04:37|  2   2  91   5   0|3055M 9570M 1404M 16.9G| 221   371 :   0  5.00 : 221   347 |  27M  186M:   0   324k:  27M  182M|44.8G  451G:31.9G  459G
24-02 14:04:38|  3   2  92   3   0|3051M 9574M 1404M 16.9G| 236   263 :   0  22.0 : 236   225 |  29M  167M:   0   112k:  29M  166M|44.8G  451G:31.9G  459G
24-02 14:04:39|  3   2  94   2   0|3057M 9568M 1404M 16.9G| 241   227 :   0  2.00 : 241   172 |  30M  118M:   0  8192B:  30M  117M|44.8G  451G:32.0G  459G
24-02 14:04:40|  4   2  93   0   0|3049M 9576M 1404M 16.9G| 256  99.0 :   0  6.00 : 256  87.0 |  32M   57M:   0    28k:  32M   57M|44.8G  451G:32.0G  459G
24-02 14:04:41|  3   2  92   4   0|3045M 9580M 1404M 16.9G| 221   207 :   0  10.0 : 221   191 |  28M  141M:   0   148k:  28M  140M|44.8G  451G:32.0G  459G
24-02 14:04:42|  3   2  91   4   0|3055M 9569M 1404M 16.9G| 221   282 :   0  24.0 : 221   255 |  27M  187M:   0   284k:  27M  185M|44.8G  451G:32.0G  459G
24-02 14:04:43|  3   2  93   1   0|3050M 9574M 1404M 16.9G| 451   122 :   0  12.0 : 451   108 |  43M   67M:   0    52k:  43M   67M|44.8G  451G:32.0G  459G
24-02 14:04:44|  4   3  85   8   0|3055M 9568M 1404M 16.9G| 547   413 :   0  7.00 : 547   389 |  45M  206M:   0   148k:  45M  205M|44.8G  451G:32.1G  459G
24-02 14:04:45|  2   2  94   2   0|3042M 9580M 1404M 16.9G| 239   279 :   0  2.00 : 239   275 |  30M   97M:   0  8192B:  30M   97M|44.8G  451G:32.1G  459G
24-02 14:04:46|  3   2  94   1   0|3037M 9585M 1404M 16.9G| 235   220 :   0  2.00 : 235   212 |  26M   62M:   0    12k:  26M   62M|44.8G  451G:32.1G  459G
24-02 14:04:47|  3   2  92   4   0|3042M 9582M 1404M 16.9G|93.0   464 :   0  28.0 :93.0   384 |3356k  216M:   0   288k:3356k  215M|44.8G  451G:32.1G  459G
24-02 14:04:48|  3   2  94   1   0|3031M 9594M 1404M 16.9G| 222   169 :   0  10.0 : 222   145 |  27M  101M:   0    92k:  27M  100M|44.8G  451G:32.1G  459G
24-02 14:04:49|  3   2  93   2   0|3037M 9587M 1404M 16.9G| 238   145 :   0  5.00 : 238   140 |  30M  104M:   0    24k:  30M  104M|44.8G  451G:32.2G  459G
24-02 14:04:50|  3   2  91   3   0|3037M 9587M 1404M 16.9G| 221   220 :   0  6.00 : 221   200 |  28M  148M:   0    88k:  28M  147M|44.8G  451G:32.2G  459G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:04:51|  6   2  92   1   0|3104M 9518M 1404M 16.9G| 240   106 :   0  20.0 : 240  86.0 |  30M   56M:   0    84k:  30M   56M|44.8G  451G:32.2G  459G
24-02 14:04:52|  3   2  90   4   0|3104M 9518M 1404M 16.9G| 211   298 :   0  21.0 : 211   262 |  26M  203M:   0   300k:  26M  201M|44.8G  451G:32.2G  459G
24-02 14:04:53|  2   2  95   1   0|3096M 9524M 1404M 16.9G| 234  97.0 :   0     0 : 234  93.0 |  28M   62M:   0     0 :  28M   62M|44.8G  451G:32.2G  459G
24-02 14:04:54|  4   2  90   4   0|3097M 9525M 1404M 16.9G| 168   406 :   0  6.00 : 168   353 |  13M  221M:   0    36k:  13M  221M|44.8G  451G:32.3G  459G
24-02 14:04:55|  3   2  93   2   0|3092M 9528M 1405M 16.9G| 214   399 :   0  6.00 : 214   393 |  25M  113M:   0    24k:  25M  113M|44.8G  451G:32.3G  459G
24-02 14:04:56|  4   2  94   1   0|3091M 9529M 1405M 16.9G| 248   213 :   0  6.00 : 248   201 |  31M   62M:   0    28k:  31M   62M|44.8G  451G:32.3G  459G
24-02 14:04:57|  2   2  89   7   0|3107M 9515M 1405M 16.9G| 214   431 :   0  17.0 : 214   372 |  26M  232M:   0   360k:  26M  229M|44.8G  451G:32.3G  459G
24-02 14:04:58|  3   1  93   3   0|3064M 9559M 1405M 16.9G| 234  97.0 :   0  8.00 : 234  83.0 |  29M   53M:   0    36k:  29M   53M|44.8G  451G:32.3G  459G
24-02 14:04:59|  4   2  91   4   0|3055M 9569M 1405M 16.9G| 222   221 :   0  11.0 : 222   198 |  28M  146M:   0   120k:  28M  146M|44.8G  451G:32.4G  459G
24-02 14:05:00|  7   4  86   2   0|3062M 9561M 1405M 16.9G| 229   278 :   0  68.0 : 229   196 |  28M  149M:   0   312k:  28M  148M|44.8G  451G:32.4G  459G
24-02 14:05:01|  6   3  90   1   0|3060M 9564M 1405M 16.9G| 193  99.0 :   0  4.00 : 193  95.0 |  16M   58M:   0    16k:  16M   58M|44.8G  451G:32.4G  459G
24-02 14:05:02|  3   2  90   5   0|3058M 9565M 1405M 16.9G| 209   351 :   0  88.0 : 209   259 |  25M  192M:   0   584k:  25M  192M|44.8G  451G:32.4G  459G
24-02 14:05:03|  3   2  95   1   0|3053M 9570M 1405M 16.9G| 245   111 :   0  4.00 : 245   107 |  31M   66M:   0    20k:  31M   66M|44.8G  451G:32.4G  459G
24-02 14:05:04|  3   2  91   4   0|3049M 9572M 1405M 16.9G| 209   452 :   0  59.0 : 209   338 |  26M  211M:   0   344k:  26M  210M|44.8G  451G:32.5G  459G
24-02 14:05:05|  2   2  93   2   0|3049M 9574M 1405M 16.9G| 246   375 :   0  7.00 : 246   368 |  30M  114M:   0    28k:  30M  114M|44.8G  451G:32.5G  459G
24-02 14:05:06|  4   2  93   1   0|3047M 9574M 1405M 16.9G| 248   221 :   0  12.0 : 248   203 |  31M   61M:   0    56k:  31M   61M|44.8G  451G:32.5G  459G
24-02 14:05:07|  2   2  89   7   0|3049M 9573M 1405M 16.9G| 204   433 :   0  29.0 : 204   387 |  25M  217M:   0   448k:  25M  215M|44.8G  451G:32.5G  459G
24-02 14:05:08|  4   2  91   3   0|3044M 9578M 1405M 16.9G| 218   292 :   0  49.0 : 218   188 |  25M  139M:   0   384k:  25M  138M|44.8G  451G:32.5G  459G
24-02 14:05:09|  2   3  95   1   0|3044M 9578M 1405M 16.9G| 242  91.0 :   0     0 : 242  91.0 |  29M   57M:   0     0 :  29M   57M|44.8G  451G:32.6G  459G
24-02 14:05:10|  3   3  92   3   0|3043M 9579M 1405M 16.9G| 229   203 :   0  8.00 : 229   177 |  28M  137M:   0    60k:  28M  136M|44.8G  451G:32.6G  459G
24-02 14:05:11|  2   2  93   3   0|3047M 9576M 1405M 16.9G| 227   235 :   0  10.0 : 227   223 |  28M  162M:   0    80k:  28M  162M|44.8G  451G:32.6G  458G
24-02 14:05:12|  3   2  94   1   0|3050M 9572M 1405M 16.9G| 284   114 :   0  8.00 : 284   106 |  33M   69M:   0   188k:  33M   69M|44.8G  451G:32.6G  458G
24-02 14:05:13|  3   3  90   4   0|3048M 9572M 1405M 16.9G| 400   324 :   0  27.0 : 400   260 |  38M  188M:   0   208k:  38M  186M|44.8G  451G:32.6G  458G
24-02 14:05:14|  4   2  93   1   0|3057M 9563M 1405M 16.9G| 374   128 :   0  6.00 : 374   114 |  38M   53M:   0    24k:  38M   53M|44.8G  451G:32.7G  458G
24-02 14:05:15|  3   2  88   7   0|3061M 9564M 1406M 16.9G| 204   448 :   0  7.00 : 204   439 |  25M  198M:   0    32k:  25M  198M|44.8G  451G:32.7G  458G
24-02 14:05:16|  3   1  96   1   0|3054M 9571M 1406M 16.9G| 249   224 :   0  3.00 : 249   215 |  31M   62M:   0    12k:  31M   62M|44.8G  451G:32.7G  458G
24-02 14:05:17|  3   1  91   5   0|3051M 9574M 1406M 16.9G| 212   419 :   0  23.0 : 212   382 |  26M  209M:   0   384k:  26M  207M|44.8G  451G:32.7G  458G
24-02 14:05:18|  2   1  94   2   0|3041M 9584M 1406M 16.9G| 232   215 :   0  10.0 : 232   190 |  29M  140M:   0    84k:  29M  140M|44.8G  451G:32.7G  458G
24-02 14:05:19|  1   1  97   1   0|3039M 9585M 1406M 16.9G| 246  84.0 :   0  4.00 : 246  80.0 |  31M   56M:   0    20k:  31M   56M|44.8G  451G:32.8G  458G
24-02 14:05:20|  3   2  93   2   0|3046M 9580M 1406M 16.9G| 233   234 :   0  8.00 : 233   179 |  29M  138M:   0    84k:  29M  137M|44.8G  451G:32.8G  458G
24-02 14:05:21|  4   2  91   4   0|3054M 9570M 1406M 16.9G| 233   249 :   0  18.0 : 233   219 |  29M  158M:   0   216k:  29M  157M|44.8G  451G:32.8G  458G
24-02 14:05:22|  3   2  95   1   0|3051M 9572M 1406M 16.9G| 262   107 :   0  4.00 : 262   103 |  32M   72M:   0   116k:  32M   72M|44.8G  451G:32.8G  458G
24-02 14:05:23|  2   2  91   5   0|3045M 9576M 1406M 16.9G| 349   308 :   0  53.0 : 349   249 |  34M  185M:   0   256k:  34M  185M|44.8G  451G:32.8G  458G
24-02 14:05:24|  3   2  94   1   0|3034M 9588M 1406M 16.9G| 465   150 :   0  1.00 : 465   139 |  45M   65M:   0  8192B:  45M   65M|44.8G  451G:32.9G  458G
24-02 14:05:25|  3   2  87   8   0|3027M 9596M 1406M 16.9G| 200   432 :   0  5.00 : 200   425 |  24M  199M:   0    24k:  24M  199M|44.8G  451G:32.9G  458G
24-02 14:05:26|  3   2  94   1   0|3023M 9601M 1406M 16.9G| 248   229 :   0  6.00 : 248   217 |  31M   62M:   0    24k:  31M   62M|44.8G  451G:32.9G  458G
24-02 14:05:27|  3   2  89   6   0|3038M 9586M 1406M 16.9G| 216   531 :   0   103 : 216   382 |  26M  209M:   0   668k:  26M  208M|44.8G  451G:32.9G  458G
24-02 14:05:28|  3   2  93   3   0|3039M 9585M 1406M 16.9G| 228   223 :   0  12.0 : 228   198 |  27M  144M:   0   104k:  27M  143M|44.8G  451G:32.9G  458G
24-02 14:05:29|  5   2  92   1   0|3102M 9521M 1406M 16.9G| 238   104 :   0  18.0 : 238  86.0 |  26M   58M:   0    80k:  26M   58M|44.8G  451G:33.0G  458G
24-02 14:05:30|  3   2  93   3   0|3098M 9524M 1406M 16.9G| 229   228 :   0  7.00 : 229   199 |  28M  148M:   0   120k:  28M  146M|44.8G  451G:33.0G  458G
24-02 14:05:31|  2   2  96   1   0|3101M 9522M 1406M 16.9G| 247  90.0 :   0  2.00 : 247  86.0 |  31M   57M:   0    12k:  31M   57M|44.8G  451G:33.0G  458G
24-02 14:05:32|  3   2  90   5   0|3105M 9515M 1406M 16.9G| 212   309 :   0  11.0 : 212   248 |  26M  186M:   0   200k:  26M  186M|44.8G  451G:33.0G  458G
24-02 14:05:33|  2   2  92   4   0|3113M 9509M 1406M 16.9G| 210   318 :   0  26.0 : 210   288 |  26M  207M:   0   220k:  26M  206M|44.8G  451G:33.0G  458G
24-02 14:05:34|  3   3  94   1   0|3053M 9568M 1406M 16.9G| 246   137 :   0  8.00 : 246   121 |  30M   60M:   0    36k:  30M   60M|44.8G  451G:33.1G  458G
24-02 14:05:35|  3   2  92   4   0|3049M 9573M 1407M 16.9G| 239   417 :   0  3.00 : 239   412 |  30M  153M:   0    16k:  30M  152M|44.8G  451G:33.1G  458G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:05:36|  4   2  94   1   0|3049M 9574M 1407M 16.9G| 246   225 :   0  12.0 : 246   207 |  28M   63M:   0    56k:  28M   63M|44.8G  451G:33.1G  458G
24-02 14:05:37|  3   2  88   6   0|3055M 9567M 1407M 16.9G| 215   471 :   0  24.0 : 215   401 |  25M  222M:   0   400k:  25M  220M|44.8G  451G:33.1G  458G
24-02 14:05:38|  3   2  95   0   0|3053M 9569M 1407M 16.9G| 248  99.0 :   0  3.00 : 248  90.0 |  31M   58M:   0    16k:  31M   58M|44.8G  451G:33.1G  458G
24-02 14:05:39|  3   2  93   2   0|3029M 9593M 1407M 16.9G| 232   206 :   0  6.00 : 232   192 |  29M  143M:   0    44k:  29M  143M|44.8G  451G:33.2G  458G
24-02 14:05:40|  3   2  93   2   0|3029M 9593M 1407M 16.9G| 228   217 :   0  9.00 : 228   197 |  28M  143M:   0    76k:  28M  143M|44.8G  451G:33.2G  458G
24-02 14:05:41|  2   2  93   3   0|3040M 9583M 1407M 16.9G| 225   224 :   0  12.0 : 225   171 |  28M  138M:   0   112k:  28M  137M|44.8G  451G:33.2G  458G
24-02 14:05:42|  4   2  92   3   0|3049M 9572M 1407M 16.9G| 225   152 :   0  9.00 : 225   143 |  28M   84M:   0   120k:  28M   84M|44.8G  451G:33.2G  458G
24-02 14:05:43|  3   2  91   4   0|3055M 9565M 1407M 16.9G| 224   295 :   0  17.0 : 224   269 |  28M  190M:   0   180k:  28M  189M|44.8G  451G:33.2G  458G
24-02 14:05:44|  4   3  93   1   0|3046M 9574M 1407M 16.9G| 273   133 :   0  5.00 : 273   120 |  32M   58M:   0    20k:  32M   58M|44.8G  451G:33.3G  458G
24-02 14:05:45|  2   2  91   5   0|3048M 9572M 1407M 16.9G| 218   452 :   0  1.00 : 218   451 |  27M  186M:   0  8192B:  27M  185M|44.8G  451G:33.3G  458G
24-02 14:05:46|  3   2  95   1   0|3047M 9573M 1407M 16.9G| 247   219 :   0  3.00 : 247   210 |  31M   61M:   0    12k:  31M   61M|44.8G  451G:33.3G  458G
24-02 14:05:47|  2   2  91   6   0|3048M 9571M 1407M 16.9G| 204   461 :   0  27.0 : 204   385 |  25M  219M:   0   304k:  25M  218M|44.8G  451G:33.3G  458G
24-02 14:05:48|  2   2  95   1   0|3046M 9575M 1407M 16.9G| 252   101 :   0  5.00 : 252  88.0 |  31M   58M:   0    28k:  31M   58M|44.8G  451G:33.3G  458G
24-02 14:05:49|  2   2  94   2   0|3042M 9579M 1407M 16.9G| 237   220 :   0  11.0 : 237   200 |  30M  143M:   0    60k:  30M  143M|44.8G  451G:33.4G  458G
24-02 14:05:50|  3   3  92   2   0|3049M 9570M 1407M 16.9G| 227   229 :   0  14.0 : 227   202 |  28M  146M:   0   188k:  28M  145M|44.8G  451G:33.4G  458G
24-02 14:05:51|  2   2  94   1   0|3049M 9570M 1407M 16.9G| 238   143 :   0  10.0 : 238   129 |  30M   95M:   0   156k:  30M   94M|44.8G  451G:33.4G  458G
24-02 14:05:52|  4   2  91   3   0|3056M 9562M 1407M 16.9G| 239   207 :   0  7.00 : 239   200 |  29M  133M:   0   120k:  29M  133M|44.8G  451G:33.4G  458G
24-02 14:05:53|  2   2  91   4   0|3052M 9568M 1407M 16.9G| 223   336 :   0  20.0 : 223   265 |  27M  195M:   0   116k:  27M  193M|44.8G  451G:33.4G  458G
24-02 14:05:54|  7   2  90   2   0|3061M 9578M 1407M 16.9G| 684   124 :   0  1.00 : 684   115 |  40M   46M:   0  8192B:  40M   46M|44.8G  451G:33.5G  458G
24-02 14:05:55|  5   2  87   5   0|3042M 9580M 1408M 16.9G| 186   471 :   0  3.00 : 186   468 |  23M  178M:   0    12k:  23M  178M|44.8G  451G:33.5G  458G
24-02 14:05:56|  7   4  89   1   0|3067M 9554M 1408M 16.9G| 250   224 :   0  8.00 : 250   210 |  31M   60M:   0    36k:  31M   60M|44.8G  451G:33.5G  458G
24-02 14:05:57|  4   2  92   2   0|3060M 9561M 1408M 16.9G| 245   187 :   0  22.0 : 245   155 |  31M  109M:   0   356k:  31M  107M|44.8G  451G:33.5G  458G
24-02 14:05:58|  3   1  91   5   0|3053M 9568M 1408M 16.9G| 232   354 :   0  6.00 : 232   342 |  28M  179M:   0    28k:  28M  178M|44.8G  451G:33.5G  458G
24-02 14:05:59|  3   2  93   2   0|3045M 9578M 1408M 16.9G| 226   265 :   0  11.0 : 226   199 |  28M  146M:   0    84k:  28M  145M|44.8G  451G:33.6G  458G
24-02 14:06:00|  3   2  93   1   0|3043M 9580M 1408M 16.9G| 233  95.0 :   0  2.00 : 233  87.0 |  29M   54M:   0    12k:  29M   54M|44.8G  451G:33.6G  458G
24-02 14:06:01|  2   1  93   3   0|3049M 9575M 1408M 16.9G| 218   227 :   0  8.00 : 218   210 |  27M  158M:   0    68k:  27M  158M|44.8G  451G:33.6G  457G
24-02 14:06:02|  2   2  93   3   0|3046M 9577M 1408M 16.9G| 233   179 :   0  16.0 : 233   161 |  29M  133M:   0   188k:  29M  132M|44.8G  451G:33.6G  457G
24-02 14:06:03|  2   2  92   3   0|3046M 9578M 1408M 16.9G| 226   211 :   0  4.00 : 226   207 |  28M  143M:   0    16k:  28M  143M|44.8G  451G:33.6G  457G
24-02 14:06:04|  3   2  95   1   0|3039M 9583M 1408M 16.9G| 311   133 :   0  6.00 : 311   115 |  35M   55M:   0    28k:  35M   55M|44.8G  451G:33.7G  457G
24-02 14:06:05|  3   2  88   6   0|3048M 9574M 1408M 16.9G| 206   552 :   0  10.0 : 206   503 |  25M  246M:   0   152k:  25M  245M|44.8G  451G:33.7G  457G
24-02 14:06:06|  3   2  94   1   0|3045M 9578M 1408M 16.9G| 247   208 :   0  8.00 : 247   194 |  31M   61M:   0    36k:  31M   61M|44.8G  451G:33.7G  457G
24-02 14:06:07|  6   2  89   3   0|3108M 9515M 1408M 16.9G| 205   412 :   0  36.0 : 205   368 |  26M  212M:   0   376k:  26M  211M|44.8G  451G:33.7G  457G
24-02 14:06:08|  4   2  94   1   0|3104M 9518M 1408M 16.9G| 246   146 :   0  38.0 : 246   102 |  30M   64M:   0   156k:  30M   63M|44.8G  451G:33.7G  457G
24-02 14:06:09|  3   2  92   3   0|3082M 9540M 1408M 16.9G| 221   221 :   0  10.0 : 221   200 |  27M  142M:   0   212k:  27M  141M|44.8G  451G:33.8G  457G
24-02 14:06:10|  3   2  91   4   0|3098M 9523M 1409M 16.9G| 223   256 :   0  11.0 : 223   196 |  28M  143M:   0   120k:  28M  142M|44.8G  451G:33.8G  457G
24-02 14:06:11|  3   2  94   1   0|3099M 9523M 1409M 16.9G| 253  99.0 :   0  7.00 : 253  92.0 |  32M   58M:   0    36k:  32M   58M|44.8G  451G:33.8G  457G
24-02 14:06:12|  3   2  89   5   0|3107M 9513M 1409M 16.9G| 232   300 :   0  35.0 : 232   263 |  28M  194M:   0   412k:  28M  193M|44.8G  451G:33.8G  457G
24-02 14:06:13|  3   2  95   0   0|3109M 9510M 1409M 16.9G| 244   114 :   0  7.00 : 244   107 |  30M   73M:   0    32k:  30M   73M|44.8G  451G:33.8G  457G
24-02 14:06:14|  3   2  90   4   0|3093M 9527M 1409M 16.9G| 208   442 :   0  8.00 : 208   417 |  26M  215M:   0   164k:  26M  212M|44.8G  451G:33.9G  457G
24-02 14:06:15|  4   2  92   2   0|3095M 9525M 1409M 16.9G| 239   407 :   0  6.00 : 239   397 |  30M  120M:   0    28k:  30M  119M|44.8G  451G:33.9G  457G
24-02 14:06:16|  3   2  95   1   0|3089M 9531M 1409M 16.9G| 244   207 :   0  3.00 : 244   198 |  30M   62M:   0    12k:  30M   62M|44.8G  451G:33.9G  457G
24-02 14:06:17|  3   2  90   6   0|3096M 9525M 1409M 16.9G| 205   480 :   0  23.0 : 205   389 |  25M  218M:   0   264k:  25M  217M|44.8G  451G:33.9G  457G
24-02 14:06:18|  3   2  94   2   0|3088M 9533M 1409M 16.9G| 233   100 :   0  8.00 : 233  86.0 |  29M   52M:   0    40k:  29M   52M|44.8G  451G:33.9G  457G
24-02 14:06:19|  2   2  93   3   0|3047M 9573M 1409M 16.9G| 230   209 :   0  11.0 : 230   192 |  29M  142M:   0    80k:  29M  142M|44.8G  451G:34.0G  457G
24-02 14:06:20|  3   2  92   3   0|3049M 9571M 1409M 16.9G| 228   239 :   0  9.00 : 228   209 |  28M  152M:   0   108k:  28M  151M|44.8G  451G:34.0G  457G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:06:21|  3   2  95   1   0|3049M 9572M 1409M 16.9G| 248  97.0 :   0  7.00 : 248  90.0 |  30M   56M:   0    28k:  30M   56M|44.8G  451G:34.0G  457G
24-02 14:06:22|  5   2  89   4   0|3051M 9568M 1409M 16.9G| 221   301 :   0  26.0 : 221   241 |  27M  181M:   0   288k:  27M  181M|44.8G  451G:34.0G  457G
24-02 14:06:23|  2   2  95   1   0|3050M 9570M 1409M 16.9G| 233   136 :   0  5.00 : 233   124 |  29M   84M:   0    44k:  29M   83M|44.8G  451G:34.0G  457G
24-02 14:06:24|  3   3  90   4   0|3042M 9576M 1409M 16.9G| 215   283 :   0  1.00 : 215   274 |  26M  181M:   0  8192B:  26M  181M|44.8G  451G:34.1G  457G
24-02 14:06:25|  5   3  82  10   0|3044M 9571M 1410M 16.9G|1126   376 :   0  7.00 :1126   367 | 132M  135M:   0    32k: 132M  135M|44.8G  451G:34.1G  457G
24-02 14:06:26|  5   3  82  10   0|3040M 9573M 1410M 16.9G|1343   402 :   0  16.0 :1343   332 | 141M   97M:   0   208k: 141M   96M|44.8G  451G:34.1G  457G
24-02 14:06:27|  4   2  89   5   0|3047M 9563M 1410M 16.9G| 957   254 :   0  7.00 : 957   247 |  88M   56M:   0   116k:  88M   56M|44.8G  451G:34.1G  457G
24-02 14:06:28|  3   1  95   0   0|3057M 9552M 1410M 16.9G|   0  91.0 :   0  8.00 :   0  77.0 |   0    27M:   0    40k:   0    27M|44.8G  451G:34.1G  457G
24-02 14:06:29|  2   1  95   2   0|3055M 9554M 1410M 16.9G|   0   494 :   0  15.0 :   0   470 |   0   195M:   0   220k:   0   193M|44.8G  451G:34.1G  457G
24-02 14:06:30|  4   1  94   1   0|3063M 9546M 1410M 16.9G|1.00   185 :   0  11.0 :1.00   154 |8192B   83M:   0    80k:8192B   83M|44.8G  451G:34.2G  457G
24-02 14:06:31|  3   1  96   0   0|3060M 9548M 1410M 16.9G|   0  78.0 :   0  2.00 :   0  76.0 |   0    25M:   0  8192B:   0    25M|44.8G  451G:34.2G  457G
24-02 14:06:32|  3   2  94   1   0|3063M 9547M 1410M 16.9G|1.00   415 :   0  34.0 :1.00   342 |8192B  173M:   0   360k:8192B  172M|44.8G  451G:34.2G  457G
24-02 14:06:33|  2   2  96   0   0|3059M 9551M 1410M 16.9G|   0  91.0 :   0  4.00 :   0  87.0 |   0    46M:   0    16k:   0    46M|44.8G  451G:34.2G  457G
24-02 14:06:34|  4   2  93   2   0|3048M 9561M 1410M 16.9G|4.00   512 :   0  10.0 :4.00   488 |  32k  207M:   0   100k:  32k  207M|44.8G  451G:34.2G  457G
24-02 14:06:35|  3   1  95   1   0|3059M 9553M 1410M 16.9G|   0   306 :   0  7.00 :   0   294 |   0   102M:   0    84k:   0   100M|44.8G  451G:34.3G  457G
24-02 14:06:36|  3   1  95   0   0|3062M 9551M 1410M 16.9G|   0   117 :   0  6.00 :   0   105 |   0    27M:   0    28k:   0    27M|44.8G  451G:34.3G  457G
24-02 14:06:37|  3   1  96   0   0|3063M 9551M 1410M 16.9G|   0   109 :   0  6.00 :   0   101 |   0    27M:   0   112k:   0    27M|44.8G  451G:34.3G  457G
24-02 14:06:38|  2   1  96   0   0|3049M 9566M 1410M 16.9G|   0  96.0 :   0  4.00 :   0  86.0 |   0    26M:   0    24k:   0    26M|44.8G  451G:34.3G  457G
24-02 14:06:39|  2   1  92   4   0|3050M 9567M 1410M 16.9G|1.00   668 :   0  19.0 :1.00   603 |8192B  313M:   0   216k:8192B  312M|44.8G  451G:34.3G  457G
24-02 14:06:40|  3   1  95   0   0|3053M 9564M 1410M 16.9G|1.00  90.0 :   0  4.00 :1.00  80.0 |8192B   26M:   0    16k:8192B   26M|44.8G  451G:34.4G  457G
24-02 14:06:41|  2   1  96   0   0|3054M 9566M 1410M 16.9G|11.0  93.0 :   0  8.00 :11.0  83.0 | 572k   26M:   0    36k: 572k   26M|44.8G  451G:34.4G  457G
24-02 14:06:42|  3   1  95   1   0|3059M 9559M 1410M 16.9G|2.00  90.0 :   0  7.00 :2.00  83.0 | 256k   27M:   0   116k: 256k   27M|44.8G  451G:34.4G  457G
24-02 14:06:43|  2   1  96   0   0|3051M 9568M 1410M 16.9G|39.0  91.0 :   0  5.00 :39.0  84.0 |4272k   27M:   0    28k:4272k   27M|44.8G  451G:34.4G  457G
